Updated as of January 2026,,,,
Category,Type of Material,Item,Unit,Price
AGGREGATES & EARTH MATERIALS,Sand,Mixing Sand (River Sand),cu.m.,"1,500.00"
,Sand,Crushed Sand,cu.m.,"1,800.00"
,Sand,Filling Sand,cu.m.,850
,,Volcanic Soil,cu.m.,"1,200.00"
,,"Crushed Rock 3/4""",cu.m.,"2,000.00"
MASONRY,Concrete Hollow Blocks,"4""x8""x16""",pc.,30
,Cement,"Portland, Type 1",bag,290
,Ready Mix Concrete,"Direct Pouring, 3500 psi @ 28 days G1",cu.m.,"6,050.00"
,Ready Mix Concrete,"Direct Pouring, 3500 psi @ 28 days 3/4 Gravel",cu.m.,"6,240.00"
,Ready Mix Concrete,"Direct Pouring, 5000 psi @ 28 days 3/4 Gravel",cu.m.,"7,020.00"
,Ready Mix Concrete,"Pumpcrete Pouring, 3500 psi @ 28 days 3/4 Gravel",cu.m.,"6,830.00"
,Ready Mix Concrete,"Pumpcrete Pouring, 5000 psi @ 28 days 3/4 Gravel",cu.m.,"7,480.00"
STEEL,Deformed steel bar,"10mmØx6m, Grade 33",lgth.,190
,Deformed steel bar,"12mmØx6m, Grade 33",lgth.,260
,Deformed steel bar,"16mmØx6m, Grade 33",lgth.,470
,Deformed steel bar,"20mmØx6m, Grade 33",lgth.,720
,Deformed steel bar,"25mmØx6m, Grade 33",lgth.,"1,130.00"
,Deformed steel bar,"10mmØx6m, Grade 40",lgth.,200
,Deformed steel bar,"12mmØx6m, Grade 40",lgth.,290
,Deformed steel bar,"16mmØx6m, Grade 40",lgth.,510
,Deformed steel bar,"20mmØx6m, Grade 40",lgth.,790
,Deformed steel bar,"25mmØx6m, Grade 40",lgth.,"1,190.00"
,Deformed steel bar,"10mmØx6m, Grade 60",lgth.,230
,Deformed steel bar,"12mmØx6m, Grade 60",lgth.,300
,Deformed steel bar,"16mmØx6m, Grade 60",lgth.,500
,Deformed steel bar,"20mmØx6m, Grade 60",lgth.,820
,Deformed steel bar,"25mmØx6m, Grade 60",lgth.,"1,210.00"
,Angle Bar,40mm x 40mm x 5mm thick,lght,930
,Flat Bar,"SS Flat Bar, 3mm x 75mm Width",lght,"1,180.00"
,Flat Bar,"SS Flat Bar, 6mm x 75mm Width",lght,"5,150.00"
,G.I Tubular Steel,"2"" x 6"" x 1.20mm x 6.0m",lgth,"1,810.00"
,G.I Tubular Steel,"2"" x 4"" x 1.20mm x 6.0m",lgth,"1,010.00"
,G.I Tubular Steel,"2"" x 3"" x 1.20mm x 6.0m",lgth,730
,G.I Tubular Steel,"1"" x 2"" x 1.20mm x 6.0m",lgth,560
WOODS AND BOARDS,Board,"Gypsum, 12mmx4'x8'",pc,730
,Board,"Gypsum, 9mmx4'x8' (Knauf)",pc,580
,Fibercement Bonded Board,"4ft x 8ft, 12mm thickness",pc,"1,270.00"
